ID1,ID2,EdgeType,Score,Annotation
4163,4179,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9825
4185,4196,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0374
4391,4431,MS1 annotation,2.000,[2M+Na]+ [M-H2O+H]+ dm/z=208.0733
4393,4434,MS1 annotation,2.000,[2M-H2O+Na]+ [M+H]+ dm/z=218.0931
4914,4935,MS1 annotation,2.000,[M+NH4]+ [2M-H2O+Na]+ dm/z=178.0266
4987,5008,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0481
5072,5096,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0378
5072,5081,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9928
5081,5096,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
5187,5189,MS1 annotation,2.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9836
5187,5189,MS1 annotation,2.000,[M-H2O+NH4]+ [2M+2H]+2 dm/z=0.9836
5199,5204,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
5199,5204,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
5244,5257,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0376
5263,5266,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0031
5275,5313,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0378
5396,5431,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9931
5588,5618,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
5589,5618,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0035
5914,5975,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
5914,5959,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5959,5968,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0037
5959,5975,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9928
6004,6031,MS1 annotation,3.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0477
6009,6031,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0370
6009,6031,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0370
6110,6114,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
6167,6173,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
6173,6179,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9819
6173,6178,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0030
6490,6577,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
6490,6544,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6497,6673,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
6544,6577,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9927
6544,6614,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0035
6594,6600,MS1 annotation,2.000,[M-2H2O+H]+ [2M+K]+ dm/z=262.0836
6644,6647,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
6644,6647,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
6650,6651,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
6650,6651,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
6962,6963,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
6998,7003,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
7098,7100,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0375
7118,7121,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
7535,7645,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0270
7539,7542,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
7539,7540,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0031
7539,7541,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9820
7624,7645,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0381
7626,7740,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0375
7811,7815,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0032
7811,7818,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
7945,7949,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
8041,8044,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
8153,8154,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
8197,8203,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
8232,8235,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
8404,8408,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0482
8404,8405,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
8405,8408,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0032
8405,8416,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9922
8449,8452,MS1 annotation,4.000,[2M+Na]+ [M+H]+ dm/z=307.1187
8449,8455,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9820
8455,8457,MS1 annotation,4.000,[2M+H]+ [M+Na]+ dm/z=263.1546
8510,8542,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
8576,8578,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
8587,8590,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9816
8590,8592,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
8616,8618,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0480
8616,8617,MS1 annotation,4.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0032
8617,8623,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9923
8617,8618,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
8618,8623,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0370
8714,8851,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
8816,8818,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
8821,8830,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0042
8827,8833,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
8827,8830,MS1 annotation,5.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9921
8830,8833,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
8830,8834,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9811
8833,8834,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0259
8999,9029,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0369
8999,9016,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0475
9036,9038,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
9036,9052,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0378
9071,9179,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0364
9071,9179,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0364
9295,9314,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9562
9309,9312,MS1 annotation,2.000,[2M-H+2Na]+ [M+H]+ dm/z=193.0194
9313,9325,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9313,9314,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
9314,9325,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
9336,9348,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9340,9344,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9830
9368,9372,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
9457,9464,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9927
9457,9464,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9927
9609,9613,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
9609,9611,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9548
9678,9722,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9927
9737,9893,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9935
9825,9828,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
9849,9852,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
9849,9852,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
9914,9916,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
10043,10045,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
10043,10045,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
10049,10052,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0270
10049,10052,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0270
10058,10059,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
10058,10059,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
10086,10093,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
10101,10105,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
10161,10178,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
10167,10171,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
10228,10233,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9735
10228,10244,MS1 annotation,5.000,[M-H2O+2H]+2 [M+Na]+ dm/z=202.0608
10228,10240,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
10233,10244,MS1 annotation,5.000,[M-H2O+2H]+2 [M+K]+ dm/z=218.0344
10233,10240,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9292
10233,10238,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9552
10238,10240,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0260
10238,10240,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0260
