"","bld_plt1_01_0_1.mzML","bld_plt1_01_120_1.mzML","bld_plt1_01_600_1.mzML","bld_plt1_01_720_1.mzML","bld_plt1_03_0_1.mzML","bld_plt1_03_480_1.mzML","bld_plt1_03_600_1.mzML","bld_plt1_04_240_1.mzML","bld_plt1_04_480_1.mzML","bld_plt1_04_600_1.mzML","bld_plt1_05_240_1.mzML","bld_plt1_05_480_1.mzML","bld_plt1_05_600_1.mzML","bld_plt1_07_120_1.mzML","bld_plt1_07_240_1.mzML","bld_plt1_07_600_1.mzML","bld_plt1_08_240_1.mzML","bld_plt1_08_600_1.mzML","bld_plt1_08_720_1.mzML","bld_plt1_10_0_1.mzML","bld_plt1_10_120_1.mzML","bld_plt1_10_600_1.mzML","bld_plt2_01_240_1.mzML","bld_plt2_01_480_1.mzML","bld_plt2_03_120_1.mzML","bld_plt2_03_240_1.mzML","bld_plt2_03_720_1.mzML","bld_plt2_04_0_1.mzML","bld_plt2_04_120_1.mzML","bld_plt2_04_720_1.mzML","bld_plt2_05_0_1.mzML","bld_plt2_05_120_1.mzML","bld_plt2_05_720_1.mzML","bld_plt2_07_0_1.mzML","bld_plt2_07_480_1.mzML","bld_plt2_07_720_1.mzML","bld_plt2_08_0_1.mzML","bld_plt2_08_120_1.mzML","bld_plt2_08_480_1.mzML","bld_plt2_10_240_1.mzML","bld_plt2_10_480_1.mzML","bld_plt2_10_720_1.mzML","skin_01_0_UB.mzML","skin_01_120_UB.mzML","skin_01_240_UB.mzML","skin_01_480_UB.mzML","skin_01_600_UB.mzML","skin_01_720_UB.mzML","skin_03_0_UB.mzML","skin_03_120_UB.mzML","skin_03_240_UB.mzML","skin_03_480_UB.mzML","skin_03_600_UB.mzML","skin_03_720_UB.mzML","skin_04_0_UB.mzML","skin_04_120_UB.mzML","skin_04_240_UB.mzML","skin_04_480_UB.mzML","skin_04_600_UB.mzML","skin_04_720_UB.mzML","skin_05_0_UB.mzML","skin_05_120_UB.mzML","skin_05_240_UB.mzML","skin_05_480_UB.mzML","skin_05_600_UB.mzML","skin_05_720_UB.mzML","skin_07_0_UB.mzML","skin_07_120_UB.mzML","skin_07_240_UB.mzML","skin_07_480_UB.mzML","skin_07_600_UB.mzML","skin_07_720_UB.mzML","skin_08_0_UB.mzML","skin_08_120_UB.mzML","skin_08_240_UB.mzML","skin_08_480_UB.mzML","skin_08_600_UB.mzML","skin_08_720_UB.mzML","skin_10_0_UB.mzML","skin_10_120_UB.mzML","skin_10_240_UB.mzML","skin_10_480_UB.mzML","skin_10_600_UB.mzML","skin_10_720_UB.mzML"
"X7459_271.154_4.334",0,616.6248,388.322,356.4556,0,134.69809,19.024612,523.5691,230.30643,319.83322,104.72473,0,72.881165,745.7114,60.866226,167.4632,225.04562,73.964745,0,0,111.06002,0,703.25287,200.0214,313.2655,17.09459,111.179054,0,547.78015,0,0,608.0558,0,0,104.44025,19.730995,0,241.5371,0,117.45649,0,0,6129.409,8079.8857,5404.349,15957.792,9866.122,18303.504,25498.154,31312.988,28126.568,54961.863,33844.83,29407.08,20741.846,20383.75,39707.75,52947.168,20352.068,18916.125,20480.9,31543.389,34232.86,29158.527,19610.078,22642.662,13827.719,42161.16,31481.08,19843.969,15751.025,21956.83,19222.238,21833.875,14651.055,23092.969,12348.304,13446.17,22103.78,22114.725,15993.001,23350.379,18433.904,17856.402
"X4343_271.154_3.375",44.04363,40.277588,64.948425,204.19229,14.300679,20.680202,83.068634,124.39386,57.95691,134.92947,21.045208,89.68591,144.69557,110.68843,244.6283,91.3826,190.15916,195.91638,71.39197,112.41022,36.26165,93.17213,122.36037,17.895782,14.970671,27.035835,59.63652,113.991776,276.0615,44.77951,121.33913,73.47859,40.751236,144.68196,104.62244,30.565783,460.56592,268.22128,159.01935,123.57041,22.661552,51.12928,36230.438,23040.916,35097.035,32967.07,30440.271,26979.262,41886.375,57705.33,71079.875,86774.53,46885.656,68631.04,40678.4,42713.31,60415.145,47422.195,53366.26,37934.656,36822.934,33876.4,37133.16,46121.895,58732.344,54240.434,62409.113,169858.6,12528.658,11152.008,93382.03,104100.27,56024.164,70658.73,45298.336,47983.4,46563.113,32393.986,60809.6,49713.434,44075.527,63950.145,31695.744,44297.023
"X4089_271.154_3.314",44.04363,44.115246,33.09497,204.19229,63.7484,20.680202,11.683155,318.64954,49.196434,116.22419,102.23378,65.98723,115.79135,110.68843,258.0108,91.3826,527.97156,227.0927,121.709145,378.2126,171.34808,61.872993,122.36037,26.67363,14.970671,24.239403,34.428665,199.0697,207.00911,30.740952,153.03065,234.83174,27.902172,67.39388,104.62244,159.63942,592.51636,915.9815,288.60226,43.4532,14.064586,97.321144,19615.535,11389.371,16923.957,12481.984,28835.277,11790.486,20496.715,27155.664,44820.086,46424.25,30781.129,30015.61,18309.014,71924.05,37847.586,15204.229,31975.383,30313.205,19694.783,24440.924,25044.547,19457.59,30455.006,36237.145,34172.746,223978.61,117145.39,184166.14,66794.164,46280.13,33419.656,36179.883,30922.857,24327.924,24270.225,10064.152,29334.365,33792.06,27254.57,39694.848,19309.658,26940.656
"X3012_271.166_2.948",1095.557,1360.2823,3241.9082,3814.1045,5416.696,3478.3303,3646.2534,3462.6387,3899.835,3397.874,4922.7666,8716.517,8863.186,4802.071,4107.513,4298.6216,2647.062,5260.7593,3316.8083,11783.06,9386.966,7945.3105,1456.9761,2523.1948,5108.2,2526.1653,5282.4297,3457.7073,3661.9153,4141.295,6101.01,6585.59,5948.8066,4931.591,3992.8232,3358.5386,7699.1436,6333.3867,5605.2305,7369.4067,5559.4053,10465.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.14514,0,0,0,0,0,0,0,0,0,8371.795,3005.6206,9293.701,963.76025,0,0,0,0,0,0,0,0,0,0,0,0,0
"X6878_271.172_4.143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.90628,1543.1193,2803.1982,6088.47,8730.197,9244.884,4929.077,1769.3176,3251.2222,1602.8873,3727.442,2526.2651,25732.377,6791.704,4158.443,6807.745,11555.714,4030.4038,5399.309,1841.7896,1696.7842,4266.094,3908.1782,4169.264,0,8769.638,3672.2212,9957.055,5251.7173,4207.597,1228.8539,2759.0134,1939.1045,1905.9225,8815.962,6122.6035,0,0,0,0,0,288.1861
"X6368_271.19_4.017",145.36264,0,1361.1279,771.9859,338.2405,493.60953,579.5274,1074.8954,868.18164,1208.6136,430.44925,137.13535,413.29666,804.2275,1284.0681,1551.3258,1729.251,1055.4492,615.41876,369.197,688.5104,85.045685,193.86032,93.15741,297.85547,525.76447,205.71437,0,321.0792,0,0,495.03116,0,0,0,88.43381,0,438.483,145.16005,205.25098,56.055386,0,11761.45,12980.38,11566.937,13252.115,12732.387,15568.99,24883.24,28620.287,19461.287,23460.957,28220.137,25166.068,12085.185,20934.025,21456.188,23720.924,14348.537,10532.842,12579.569,19194.383,18135.754,21290.088,16114.347,22379.875,16288.8125,30721.264,20128.316,23130.87,16700.4,19391.254,16453.922,18282.275,15318.099,16800.293,26531.303,8507.76,17397.719,15141.465,14711.279,9327.613,8347.821,20561.982
"X6857_271.19_4.114",145.36264,0,571.02216,441.64706,305.52515,323.73123,346.58496,598.99207,722.9291,409.09653,95.62131,0,356.55142,620.485,17.97903,426.5362,304.49545,107.49092,41.105835,460.17624,472.1681,85.045685,144.09502,93.15741,297.85547,177.45522,205.71437,0,321.0792,0,0,393.55576,0,0,0,0,0,386.13513,145.16005,123.37916,60.478035,0,13702.451,10579.9,15039.108,13026.673,19120.994,20066.041,38846.78,33336.87,19789.182,30911.559,30361.793,33737.234,28777.574,21084.129,25839.57,32995.99,18404.617,20279.139,26264.908,22063.906,19755.441,26234.484,15495.975,20663.041,1742.778,21521.545,22251.47,23998.068,16602.564,20410.11,15788.716,15691.189,14011.1045,12166.009,17968.928,8004.1777,10788.064,17373.469,18638.953,19181.645,11218.976,13106.4
"X10316_271.191_5.607",0,0,59.94188,0,0,0,0,0,0,0,87.953156,0,0,0,0,0,0,0,0,0,0,0,41.376648,0,0,0,185.08942,0,0,0,0,14.261296,0,0,0,0,251.98605,0,0,0,0,275.30432,383.15646,653.9088,181.57365,364.6048,0,0,1564.0007,1448.8223,1494.8844,369.45105,1274.7854,2011.4211,1030.6777,1740.7864,1087.3241,1812.2252,1070.0345,2400.277,2896.5178,752.2837,787.3413,1060.3381,759.42957,1089.0065,54683.953,1412.4756,676.0559,364.32065,278.0979,772.4309,0,243.18466,236.112,248.24492,298.01526,402.51532,205962.34,48552.492,37691.195,34562.535,69275.29,50298.758
"X7159_271.191_4.25",0,0,33.077263,41.174965,53.345795,15.906671,0,61.61996,0,30.908314,0,0,0,0,17.97903,0,334.05743,153.64937,49.618343,244.56055,183.9752,0,0,0,53.603928,98.66244,0,0,28.29105,0,0,27.13691,0,0,0,0,0,0,24.754818,60.863674,0,0,30828.883,44609.07,44662.68,57082.836,47997.633,65056.414,132373.77,39794.99,86460.94,71837.82,41812.92,64715.605,183037.42,89834.68,60350.66,92449.42,67363.56,34230.055,54384.5,25893.574,29226.887,33673.465,67801.32,28051.076,228125.67,80036.69,54600.438,52232.965,41648.168,56003.273,21984.234,45107.92,32397.549,18822.996,68721.32,21264.58,100766.59,30431.521,33008.465,31538.777,83475,76082
"X5677_271.206_3.767",4380.3984,0,5865.6265,7528.5474,2336.3606,1873.686,2372.4429,6019.213,5633.8696,5513.4644,201.45934,0,376.63516,4110.6675,4312.665,8111.894,5748.262,6845.179,4568.9346,4542.522,3868.6628,141.51157,33.66473,1017.4187,701.5128,3127.1826,1133.4203,209.34375,7593.0444,0,0,0,94.58443,960.14746,1549.8613,5798.6797,0,221.32735,245.86092,204.47577,1584.787,34.36145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X6571_271.227_4.044",0,0,321.47485,257.74753,32.945,73.081245,263.64035,85.53628,134.03102,78.44876,0,0,49.15828,248.40198,36.582962,93.178406,481.00662,772.82855,46.682556,314.87332,816.78046,0,0,0,73.07691,39.375,78.03284,0,32.00506,0,0,568.3666,0,0,0,0,0,0,58.85701,0,0,0,15553.583,21038.156,17626.375,21972.5,19564.365,23245.732,40724.375,42459.26,33096.88,46240.63,51507.5,40158.543,24053.586,26049.926,24632.22,43569.34,39312.74,35046.008,10969.77,30665.336,27767.846,31792.713,34337.258,35773.715,13811.238,40965.836,19720.215,24113.49,25628.8,28211.238,27576.344,36349.652,24618.332,22981.383,27228.457,22090.645,20322.273,25441.643,19707.574,27867.646,18400.521,24354.719
"X9104_271.227_4.991",0,0,11.781647,45.057198,20.239883,34.14113,232.88403,137.36633,0,0,0,0,0,255.19437,36.68111,120.64673,84.30472,169.96136,114.67801,29.782438,225.29082,0,29.58893,36.6964,202.09271,179.91093,572.93665,0,0,0,0,262.48862,54.256744,0,0,0,0,0,32.178417,54.08242,0,0,12461.504,15144.041,16737.918,19127.957,19437.389,18033.525,16965.12,21630.566,13580.919,15619.503,26637.383,19772.238,14248.003,15197.3955,15695.509,17074.926,20311.152,19661.098,16990.412,10753.133,12830.575,21151.96,8147.9233,12273.019,6918.2705,16122.816,11068.749,12327.726,10920.984,15486.557,12034.862,11746.892,10785.493,13397.586,16158.934,15314.514,9971.311,10698.064,8823.309,13732.669,12789.105,16053.971
"X9888_271.227_5.365",28317.986,32284.914,33466.74,34287.684,23536.447,30480.984,28905.676,41198.81,36420.324,23423.24,32494.174,29353.93,29442.297,34101.906,28911.443,33447.52,37175.945,36723.535,28332.336,24100.285,32429.664,22702.357,34716.42,49280.67,35633.98,36740.9,52506.59,29406.9,24870.594,39524.78,27952.201,44878.574,25281.945,29078.47,28916.963,30993.193,36517.004,38553.477,39059.707,27432.594,26323.754,52204.184,53408.117,69466.36,74875.03,130891.516,73332.445,98098.85,123278.84,170339.38,236878.28,242381.16,192849.31,273096.22,248827.31,222994.22,212041.73,161390.83,261745.42,266862.72,125977.125,92181.76,78394.47,124172.36,164034.34,121179.05,69681.445,153809.9,121802.03,138737.16,189742.94,175059.31,90203.266,112236.28,131040.055,107399.03,108411.79,83262.164,139647.14,132498.78,129912.21,108641.82,87267.73,107934.04
"X8430_271.227_4.631",0,0,16.624643,0,0,0,0,10.381301,0,0,0,0,32.486217,0,0,10.828905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.78154,0,1934.8599,2063.679,1985.5968,2505.9329,2420.6978,2427.1277,18348.717,11504.975,9659.089,7254.3047,8094.948,6826.685,1738.294,3384.1755,3894.9983,3972.4377,3267.9263,4210.5737,3613.2715,3023.4502,1557.5977,3677.072,2162.3777,2565.1675,2035.2926,4952.0723,3326.8381,4936.587,2291.5806,2145.4148,1007.4522,3428.6187,2511.1216,2223.8735,3158.1716,4666.4263,3002.2,3534.945,1981.6162,3716.2627,2117.5032,3051.024
"X7717_271.227_4.406",0,0,60.63312,0,0,0,0,71.699715,0,0,0,0,0,0,0,59.308575,0,46.1501,0,0,82.07208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20276.07,15959.673,13542.338,23792.035,16001.655,13773.739,39826.19,35915.68,23655.982,40400.465,32898.62,28289.771,18317.096,20425.695,22869.475,24918.92,28621.824,20784.74,18944.93,21162.209,18028.982,23475.5,28645.27,21829.43,11695.506,32523.006,19139.021,18042.744,19224.898,18838.63,16538.172,18451.648,13011.242,12598.715,18730.572,6964.544,27251.023,20557.223,13788.962,17274.64,15645.097,17449.67
"X9735_271.227_5.307",6069.2803,13192.839,8807.736,10032.705,6359.347,9608.922,8669.952,11725.6875,10010.9795,5071.793,9470.461,8920.263,7289.198,11309.372,7718.857,9359.872,14633.531,10833.112,8648.998,6089.2695,9940.993,5282.8447,10558.151,19774.756,10429.223,10324.61,14855.982,7814.3926,7094.6313,9979.95,8447.052,14089.006,7087.998,7464.692,6764.0815,8847.249,9633.526,12318.745,11817.887,6587.8296,6455.453,17624.055,27631.814,31401.938,31035.3,73726.51,40178.668,38600.2,71849.13,75586.336,117936.74,112324.74,96216.04,137292.42,118795.73,69789.92,78369.21,68856.164,77785.984,74517.63,51826.195,42605.39,42840.2,63910.562,16670.209,64311.1,28198.3,53806.066,38705.156,51050.586,82322.39,55596.023,39738.016,44230.125,25172.76,35444.945,61974.008,46462.227,61225.324,46741.113,55580.22,52152.24,41831.18,58144.6
"X10459_271.227_5.642",1144.2833,996.09753,1580.5403,1739.1393,1065.3564,1579.3752,1461.6592,1746.0281,1724.2504,1033.6879,1203.452,1379.2474,1182.681,1720.795,1361.2356,1543.6638,1788.4017,2092.5974,1596.7635,1147.4387,1674.2056,1106.5095,2415.723,1403.0757,1830.5973,1859.832,2563.5442,1091.7606,1271.1436,1346.7406,1392.7103,2349.6475,1118.3766,1138.9945,1240.7396,1658.853,1904.4348,2162.2563,1687.5459,1235.9573,961.03864,3182.3196,3775.9817,5669.789,7159.7393,11873.801,11334.284,11821.293,33966.457,26379.434,28552.969,23546.102,34619.06,24458.428,26926.139,23978.404,18720.895,17459.611,25002.83,16300.9,18377.734,7230.1445,9810.135,16687.148,7513.517,11475.091,5931.9478,15086.21,11201.987,12785.368,13993.32,11489.613,8452.66,10713.116,2676.535,9933.205,28595.32,12270.86,6200.1084,5254.7085,6723.3647,7776.478,8060.608,7721.948
"X11184_271.227_5.944",306.34152,482.74045,540.21924,560.4288,270.7243,433.59506,525.7292,626.2554,343.42764,106.021515,592.19617,360.02936,441.29968,566.562,392.09756,659.75964,400.71027,622.53516,411.00717,303.22015,559.8176,208.67407,1034.4037,825.8275,678.4707,664.7011,1575.506,384.84555,416.83075,866.60626,533.4478,1177.4849,382.13004,540.7445,418.86172,644.0949,1222.8466,1149.2078,699.3898,370.6268,194.99329,1378.869,10212.852,15506.356,17019.404,19349.879,30519.639,16316.488,80105.86,62466.668,59742.777,56242.402,58219.31,76447,83859.22,54588.43,41447.832,54374.05,43714.273,34163.027,50626.016,29954.266,31172.12,33246.875,26336.809,18863.441,18862.06,20663.852,23245.836,37665.457,17429.732,25383.816,11739.521,9625.501,6567.449,6127.8174,21990.363,5298.534,13608.427,10987.219,14352.286,13929.182,13442.193,13217.015
"X7836_271.242_4.441",10568.401,8882.379,4892.7764,6197.654,1349.23,1459.5848,1275.7692,16802.441,12611.198,12994.159,10671.87,9552.563,8923.614,6828.086,15503.467,8554.876,9258.272,20580.72,12718.989,1795.4436,604.05347,859.46405,9025.975,6139.644,1354.3765,773.6118,2315.6008,10845.15,12963.017,11829.826,14981.961,16191.616,3627.4412,5985.207,8887.898,5810.975,15779.258,19731.475,17596.111,614.1412,265.50687,1257.4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X7174_272.128_4.258",7910.669,7327.2983,1402.272,896.80804,0,0,0,20021.82,10603.947,7506.414,0,0,0,496.85696,19321.045,255.61003,636.34576,126.27687,0,0,0,202.84906,6794.22,2208.4275,0,0,0,21463.096,18538.332,5433.8936,0,811.68286,0,482.42136,0,0,0,838.67804,686.0594,0,32.69899,242.7203,0,0,0,0,0,0,0,0,0,0,0,0,1373.6802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2452_272.132_2.699",508.30658,219.4531,427.34583,198.23576,210.41988,336.8058,236.34808,756.9937,1307.0232,920.791,1673.1976,614.8762,379.4999,2059.4275,5327.033,1117.042,267.89774,230.43219,1874.6211,1152.1383,576.24646,399.03513,1270.8163,264.9546,21.487156,48.9418,237.9164,432.5074,486.87573,281.45877,470.898,489.49118,361.9199,123.50703,122.528625,298.62378,345.79913,314.68765,509.51825,268.79117,320.35165,110.89153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X3220_272.15_2.997",13.890982,9.958183,0,0,17.619745,12.065874,0,0,9.321724,15.323383,0,0,0,0,0,10.008118,56.023758,16.279085,12.00067,25.495716,16.295048,0,25.65089,15.789475,28.907705,10.639163,23.141483,15.672937,10.368667,40.26285,8.447222,15.935128,0,19.467335,0,0,171.89143,123.7391,0,7.792926,16.618164,12.867255,24902.838,29613.48,29162.016,35090.273,37084.69,31078.242,25261.375,32764.803,30199.176,32347.209,38491.99,46684.42,24890.707,27718.748,36756.71,36565.25,33617.613,31967.908,27148.031,21333.88,28077.795,38142.67,27123.967,25813.621,11526.337,25865.34,18068.584,16161.243,15546.498,15582.459,15644.875,18419.938,15239.227,15719.578,15434.122,17452.824,18274.855,15294.42,19426.775,18458.672,16202.682,15393.61
"X107_272.161_0.497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.2149,1447.5732,428.00458,974.8403,5477.1313,954.89087,21555.418,3069.9968,16850.947,9297.854,21051.092,7506.6216,21339.514,4904.5454,3487.5996,5083.8438,5670.053,3334.3481,18138.416,7085.1826,1948.1721,23012.13,14384.819,18400.996,3068.917,22000.006,10877.422,24260.635,4631.7476,6951.805,823.3306,2697.225,449.84494,562.4581,7870.1045,4032.879,1681.8998,1928.3154,1620.1431,2566.9155,1634.3363,4347.415
"X4973_272.165_3.547",0,35428.76,4142.6055,4938.281,211.59567,9962.515,6881.7695,17486.092,8119.7393,5617.679,20283.607,7672.808,7219.061,42440.86,24005.65,7592.2593,24359.96,10547.504,6810.9727,187.90158,14480.206,2778.0627,22862.5,7310.8066,51549.2,7966.7847,7749.423,206.41309,19269.975,3651.0771,247.91153,69082.93,2080.0088,0,6594.049,4387.578,729.7955,58873.85,8658.862,12997.485,788.2523,4900.373,0,0,0,613.25256,1503.2571,4999.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.61902,0,759.74023,1136.5671,413.41998,0,0,0,0,0,5984.2188,52014.13,0,0,0,0,0,0
"X4028_272.186_3.306",33.128998,27.457026,35.067146,88.98329,19.477335,19.752052,26.174797,36.77892,63.60189,11.412972,180.79439,111.13481,17.010965,12.0881605,12.414761,13.979066,23.304234,40.884586,86.8803,30.420044,67.65428,16.514194,178.49176,41.927605,46.092934,24.949287,109.4008,65.39259,18.848387,27.524292,93.45275,26.826729,10.297697,25.672752,36.734108,20.059444,91.90874,526.58203,20.965004,69.77434,35.6373,36.338512,4382.862,4797.131,4344.743,5429.0474,4200.3105,3497.1392,8409.099,12562.87,9228.474,15129.582,11705.587,13222.345,6600.4644,7007.3022,6448.8228,7061.577,6457.2354,6752.8257,7140.9243,7294.084,5488.206,8867.049,5972.601,6992.6294,7516.301,16111.121,10223.894,9247.141,8259.36,7579.0503,5753.8506,5786.384,5178.981,4900.9146,5760.8716,4565.836,6421.2915,6544.1772,7266.2075,7851.461,7991.1514,8395.589
"X9453_272.222_5.18",0,0,0,27.62983,0,0,0,0,0,69.67642,33.012672,0,0,414.32748,17.461718,726.8638,17.729633,21.905678,22.690784,11.851925,0,0,38.34617,36.24579,0,0,0,0,24.599998,0,0,65.37565,0,992.0739,623.6765,641.7265,86.73949,124.36353,25.206161,0,0,0,1061.1722,460.8777,429.09622,2188.371,3287.2588,2504.204,21882.904,12188.789,11202.275,8608.394,10131.27,5535.3594,17794.441,5831.8433,3805.1042,3367.2578,2383.3147,2222.405,2212.7693,1090.411,331.26233,3525.9954,890.4169,4432.0327,27543796,556564.25,1675471.9,1550150.9,713227.75,609315.5,7118.3247,12215.299,7016.4043,6873.8677,40992.184,50653.23,111830.14,62301.082,51186.004,48246.32,110642.02,63942.254
"X3906_272.222_3.242",11.901026,101.615395,446.40378,642.9401,53.40707,40.64622,274.06058,32.055748,35.074413,0,1473.3362,413.9959,755.0847,258.7408,0,15.301861,761.8823,343.22977,0,548.25586,195.08446,24.653889,1604.41,15.375124,353.8852,141.52652,2095.2869,0,25.49122,214.56705,296.70694,1195.1691,0,11.462734,0,27.953428,1097.1787,178.74771,660.39594,0,332.9288,1221.4711,31183.004,26530.898,10448.395,31655.164,12528.555,9928.433,37936.69,17018.59,18977.799,38964.082,28886.984,39909.367,33130.58,16587.479,13480.512,15874.777,37516.973,15383.025,10265.455,15348.567,14755.5625,40485.312,38129.977,40055.34,13119.44,37612.46,16202.814,33538.523,39405.082,20764.012,43327.76,33704.934,13996.831,18572.705,34645.758,12726.883,50426.242,46620.43,35112.555,34863.504,32310.895,21123.312
"X9854_272.23_5.359",1130.6431,2326.2715,4947.3433,4839.917,1851.4993,1680.1128,1919.6874,2659.4692,4166.5176,1781.2466,1510.7755,1591.1132,3606.1072,1939.396,3255.8867,1531.725,2559.4797,4615.1445,2305.3135,2946.8755,3117.1172,1957.8407,4103.5713,3532.8103,1720.0208,4545.691,5813.2134,2442.8716,3221.8135,4566.1353,2365.7395,2423.7903,3016.6672,3400.1523,2239.814,2710.4941,4096.4824,4861.957,2077.158,2043.2924,2403.1582,6779.261,3770.8643,8127.4414,6231.1646,10096.103,6510.86,9373.439,20217.398,20876.95,34901.707,23637.793,34735.04,29768.223,25288.09,7771.999,21200.652,30384.36,29272.742,13543.322,9131.543,9597.328,4274.921,14034.525,19494.99,15269.859,0,13797.153,8606.404,9327.451,19585.906,26903.57,14145.248,12961.255,13264.295,16450.822,21246.18,8476.055,9565.327,10841.405,16782.715,10882.745,11426.552,12612.3
"X11032_272.258_5.863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5865.2344,7854.4023,6593.432,10859.8125,7111.2754,10138.603,4862.222,12287.579,5586.8623,9101.9,10810.502,10190.371,7797.8604,9464.844,10136.125,7600.1934,6721.2944,13921.277,8175.6226,8745.699,12425.167,9658.244,6869.4775,7135.291,3135.095,550.62915,5068.8037,1813.397,5964.713,7900.3916,8189.869,10521.233,8627.995,7049.224,4169.7695,10964.777,16120.394,13184.051,11616.878,13155.3125,10227.455,15922.925
"X10120_272.258_5.443",0,0,29.629951,304.25546,0,0,42.083687,0,0,53.210835,0,0,51.78853,0,0,0,37.013977,0,0,0,0,0,0,41.470108,41.919266,0,48.542027,0,25.43298,0,0,88.20892,0,84.76013,0,39.2774,32.209038,0,10.40048,0,0,39.119076,5428.7383,5939.509,6221.8306,9653.807,15539.862,14894.018,33478.895,14331.613,11545.671,6437.709,12725.964,5552.7134,49685.76,15040.732,6220.9805,9109.775,6062.6733,6714.486,36345.375,6362.4824,6403.2295,14677.821,6488.822,6287.9277,51493.54,27340.314,33825.207,50898.258,27175.223,22618.295,2231.727,4242.5186,2210.8325,3083.4495,18174.162,24551.707,4237922.5,1388866,1122536.5,830797.1,2424025,2129431.5
"X7747_272.258_4.396",590.9722,344.1231,622.83417,542.7151,803.5221,565.0954,538.8721,700.48486,648.1101,513.42004,155.5268,189.84363,187.3631,619.00726,237.27838,573.0467,1774.6508,672.79364,531.17035,716.55133,608.38983,412.0898,240.1239,272.99768,440.6465,365.66248,673.7702,0,354.0691,0,538.3225,459.9233,325.19324,91.95628,70.1785,652.7035,235.94852,499.87872,373.57416,351.30533,199.64285,744.9682,44942.062,39479.855,40745.58,87448.625,90734.516,135724.47,151355.08,108473.06,45056.215,65851.234,48626.348,40357.355,18895.367,7942.8564,11953.092,8166.143,6216.556,10321.347,60525.555,22739.527,20858.188,49692.734,30157.791,37132.37,1526047.4,1567308.5,1505111.2,1862884.4,918207.25,873193.9,9715.49,2139.069,2128.4844,4540.1523,21854.86,29340.264,845070.6,329277.62,199809.53,201070.34,679180.94,444937.62
"X11589_273.097_6.083",0,74.857666,255.35666,85.6696,29.176352,39.991783,26.87397,98.019646,183.57677,138.34894,268.08377,90.979294,164.45262,14.638214,112.68928,58.562653,132.62047,62.15602,60.864426,206.30197,13.653232,144.59325,216.73514,70.52279,117.88612,0,203.93979,44.612297,24.058563,52.010372,0,242.74005,53.18413,77.79964,15.389404,30.183228,438.15747,26.115993,203.28171,12.353823,25.76232,162.70146,7494.881,14193.396,13625.311,23110.158,37923.54,21882.85,3722.5151,685.14386,2159.6836,762.52136,2833.8984,1097.5972,3975.0771,746.41943,345.4583,267.16742,0,0,1710.7769,305.7583,0,356.1895,176.10878,0,541.4829,1230.5067,1097.7446,2338.679,1824.9639,1022.7969,1524.2002,2825.0938,1968.9626,3437.1775,17753.656,5190.396,305.79327,745.41486,838.6178,858.4359,1702.8782,1050.5464
"X750_273.112_1.97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25180.807,29237.465,2715.3652,30149.076,31365.71,32345.98,33452.48,52802.887,39304.613,43760.25,54477.992,49324.53,36682.83,34214.375,39148.15,49566.324,39535.492,43767.324,36812.457,36080.41,34125.375,45499.11,37463.832,43815.52,4998.314,38993.062,7037.6772,30390.955,4682.686,32884.152,31215.4,34620.574,27139.795,8653.817,33733.887,32675.287,30667.082,27153.15,28366.83,34684.477,31478.57,34602.203
