formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C27H54O4	[M + Na]+	C27H54O4	8.744140467258266	3.3449972171865365	5.399143250071729	1	0.0	1.8094239168342172	1.8094239168342172	1.8674393827846192		465.39230	431.52467773437496	1588_group2_sirius_16086	16086
1	C8H12N3O14P7	[M + H]+	C8H12N3O14P7	10.193253883873531	9.527266743802038	0.6659871400714943	6	0.9036805552359432	7.147087263221739	7.147087263221739	1.258876410767409		591.85628	175.65	1589_group2_sirius_3556	3556
1	C8H16N2O3	[M + H]+	C8H16N2O3	72.04143656254826	69.59954860011301	2.4418879624352505	14	0.9857301493133354	4.022902905035502	4.022902905035502	0.6935992063478894		189.12350	32.41908203125	1590_group2_sirius_188	188
1	C9H16O4	[M - H4O2 + H]+	C9H12O2	167.94866753893027	164.6302423816779	3.318425157252356	31	0.9622304492748978	5.101003336735284	5.101003336735284	-235292.0706333386		153.09103	179.55085937500002	1591_group2_sirius_3753	3753
1	C18H28N2O3	[M + H]+	C18H28N2O3	13.65721209140227	10.059335009935033	3.597877081467237	3	1.0	1.4921267968658087	1.4921267968658087	1.12320083267573		321.21763	252.63	1592_group2_sirius_7599	7599
1	C12H20O4	[M + Na]+	C12H20O4	3.5472919233013553	3.4494717529740573	0.0978201703272979	1	0.0	0.6179375963663131	0.6179375963663131	0.6378479443846319		251.12554	118.37625976562501	1593_group2_sirius_988	988
1	C24H50O7	[M + H]+	C24H50O7	16.90656286699783	15.444238403160945	1.4623244638368864	4	1.0	5.670904029822148	5.670904029822148	0.3093029066132042		451.36307	303.07	1594_group2_sirius_10153	10153
1	C14H26O2	[M + H]+	C14H26O2	89.69489148264569	86.19805954168116	3.4968319409645208	25	0.8369896214622276	5.393509821247182	5.393509821247182	-0.24878506220096375		227.20050	289.022216796875	1595_group2_sirius_9608	9608
1	C43H71N5O9	[M + H]+	C43H71N5O9	9.895702004610708	1.0	8.895702004610708	1	0.0	NaN	NaN	-1.2152845275334303		802.53148	416.57	1596_group2_sirius_15536	15536
1	C27H45NO5	[M + H]+	C27H45NO5	45.5429880756947	45.5429880756947	0.0	13	0.9028157369251456	3.278810699964443	3.278810699964443	6.891515240106925		464.34025	369.29435339950953	1597_group2_sirius_12986	12986
1	C16H28O2	[M + H]+	C16H28O2	13.244825267682053	13.244825267682053	0.0	2	1.0	9.215070523516433	9.215070523516433	0.36890164440789625		253.21630	435.90999999999997	1598_group2_sirius_16260	16260
