ID1,ID2,EdgeType,Score,Annotation
3637,3639,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
3658,3665,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9935
3728,3730,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
3804,3827,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
3804,3827,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
4028,4081,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0375
4037,4061,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0038
4060,4062,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9825
4100,4148,MS1 annotation,2.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0030
4286,4338,MS1 annotation,2.000,[2M+Na]+ [M-H2O+H]+ dm/z=208.0733
4292,4332,MS1 annotation,2.000,[2M-H2O+Na]+ [M+H]+ dm/z=218.0930
4440,4450,MS1 annotation,2.000,[M+NH4]+ [2M-H2O-H+2Na]+ dm/z=190.0264
4819,4830,MS1 annotation,2.000,[M+NH4]+ [2M-H2O+Na]+ dm/z=178.0266
4828,4831,MS1 annotation,3.000,[2M+NH4]+ [M-2H2O+H]+ dm/z=251.1729
4831,4860,MS1 annotation,3.000,[M-H2O+H]+ [2M+NH4]+ dm/z=233.1622
4831,4860,MS1 annotation,2.000,[M-2H2O+2H]+2 [M+NH4]+ dm/z=233.1622
4893,4900,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0481
4974,5016,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0376
4984,5005,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
4992,5016,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
5101,5111,MS1 annotation,2.000,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.9836
5142,5167,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
5152,5167,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0376
5175,5176,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0031
5176,5177,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9924
5182,5205,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0378
5300,5337,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9930
5463,5506,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
5505,5506,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0035
5700,5941,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
5758,5819,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
5758,5822,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5808,5822,MS1 annotation,4.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0036
