Filename	Sample_Type	Subject	Timepoint_min	Sampling_Location	Comments
skin_08_600_OF.mzXML	skin	Subject_8	600	forearm	
skin_08_600_UB.mzXML	skin	Subject_8	600	upper back	
skin_08_720_FH.mzXML	skin	Subject_8	720	forehead	
skin_08_720_OF.mzXML	skin	Subject_8	720	forearm	
skin_08_720_UB.mzXML	skin	Subject_8	720	upper back	
skin_08_90_FH.mzXML	skin	Subject_8	90	forehead	
skin_08_90_OF.mzXML	skin	Subject_8	90	forearm	
skin_08_90_UB.mzXML	skin	Subject_8	90	upper back	
skin_09_0_FH.mzXML	skin	Subject_9	0	forehead	
skin_09_0_OF.mzXML	skin	Subject_9	0	forearm	
skin_09_0_UB.mzXML	skin	Subject_9	0	upper back	
skin_09_120_FH.mzXML	skin	Subject_9	120	forehead	
skin_09_120_OF.mzXML	skin	Subject_9	120	forearm	
skin_09_120_UB.mzXML	skin	Subject_9	120	upper back	
skin_09_1440_FH.mzXML	skin	Subject_9	1440	forehead	
skin_09_1440_OF.mzXML	skin	Subject_9	1440	forearm	
skin_09_1440_UB.mzXML	skin	Subject_9	1440	upper back	
skin_09_240_FH.mzXML	skin	Subject_9	240	forehead	
skin_09_240_OF.mzXML	skin	Subject_9	240	forearm	
skin_09_240_UB.mzXML	skin	Subject_9	240	upper back	
skin_09_30_FH.mzXML	skin	Subject_9	30	forehead	
skin_09_30_OF.mzXML	skin	Subject_9	30	forearm	
skin_09_30_UB.mzXML	skin	Subject_9	30	upper back	
skin_09_360_FH.mzXML	skin	Subject_9	360	forehead	
skin_09_360_OF.mzXML	skin	Subject_9	360	forearm	
skin_09_360_UB.mzXML	skin	Subject_9	360	upper back	
skin_09_480_FH.mzXML	skin	Subject_9	480	forehead	
skin_09_480_OF.mzXML	skin	Subject_9	480	forearm	
skin_09_480_UB.mzXML	skin	Subject_9	480	upper back	
skin_09_60_FH.mzXML	skin	Subject_9	60	forehead	
skin_09_60_OF.mzXML	skin	Subject_9	60	forearm	
skin_09_60_UB.mzXML	skin	Subject_9	60	upper back	
skin_09_600_FH.mzXML	skin	Subject_9	600	forehead	
skin_09_600_OF.mzXML	skin	Subject_9	600	forearm	
skin_09_600_UB.mzXML	skin	Subject_9	600	upper back	
skin_09_720_FH.mzXML	skin	Subject_9	720	forehead	
skin_09_720_OF.mzXML	skin	Subject_9	720	forearm	
skin_09_720_UB.mzXML	skin	Subject_9	720	upper back	
skin_09_90_FH.mzXML	skin	Subject_9	90	forehead	
skin_09_90_OF_20200811221253.mzXML	skin	Subject_9	90	forearm	
skin_09_90_OF.mzXML	skin	Subject_9	90	forearm	exclude use replicate injection (missed injection)
skin_09_90_UB.mzXML	skin	Subject_9	90	upper back	
skin_10_0_FH.mzXML	skin	Subject_10	0	forehead	
skin_10_0_OF.mzXML	skin	Subject_10	0	forearm	
skin_10_0_UB.mzXML	skin	Subject_10	0	upper back	
skin_10_120_FH.mzXML	skin	Subject_10	120	forehead	
skin_10_120_OF.mzXML	skin	Subject_10	120	forearm	
skin_10_120_UB.mzXML	skin	Subject_10	120	upper back	
skin_10_1440_FH.mzXML	skin	Subject_10	1440	forehead	
skin_10_1440_OF.mzXML	skin	Subject_10	1440	forearm	
skin_10_1440_UB.mzXML	skin	Subject_10	1440	upper back	
skin_10_240_FH.mzXML	skin	Subject_10	240	forehead	
skin_10_240_OF.mzXML	skin	Subject_10	240	forearm	
skin_10_240_UB.mzXML	skin	Subject_10	240	upper back	
skin_10_30_FH.mzXML	skin	Subject_10	30	forehead	
skin_10_30_OF.mzXML	skin	Subject_10	30	forearm	
skin_10_30_UB.mzXML	skin	Subject_10	30	upper back	
skin_10_360_FH.mzXML	skin	Subject_10	360	forehead	
